client_id,agency_id,business_name,industry,city,onboarding_date,monthly_retainer_inr,client_status
CL0001,AG007,Metro Holidays,Travel & Tourism,Lucknow,2025-09-19,42233.0,Active
CL0002,AG001,Modern Apparel,Fashion & Apparel,Lucknow,2025-01-20,16655.0,Inactive
CL0003,AG041,Grand Boutique,Fashion & Apparel,Lucknow,2025-03-22,26826.0,Inactive
CL0004,AG014,Star Furnishings,Home Services & Interiors,Barabanki,2024-07-05,28650.0,Active
CL0005,AG030,Sai Autos,Automobile Dealers,Lucknow,2025-03-24,77438.0,Active
CL0006,AG041,Star Travels,Travel & Tourism,Rae Bareli,2025-01-24,19627.0,Active
CL0007,AG002,Om Automobiles,Automobile Dealers,Rae Bareli,2024-04-10,36852.0,Inactive
CL0008,AG001,Urban Wheels,Automobile Dealers,Lucknow,2024-09-05,43773.0,Active
CL0009,AG001,Metro Institute,Education & Coaching,Rae Bareli,2025-06-23,31648.0,Active
CL0010,AG008,Modern Properties,Real Estate,Prayagraj,2025-01-29,42260.0,Inactive
CL0011,AG003,Ganga Boutique,Fashion & Apparel,Ayodhya,2026-08-01,15406.0,Active
CL0012,AG037,Metro Yoga Centre,Fitness & Wellness,Lucknow,2025-05-05,22602.5,Inactive
CL0013,AG028,Care & Co Law,Legal Services,Lucknow,2026-07-01,25296.0,Active
CL0014,AG045,Star Weddings,Wedding & Events,Lucknow,2025-10-12,25854.0,Inactive
CL0015,AG037,Sunrise Events,Wedding & Events,Rae Bareli,2024-04-14,28387.0,Inactive
CL0016,AG044,Grand Threads,Fashion & Apparel,Varanasi,2024-09-05,38200.0,Active
CL0017,AG011,Trust Hospital,Healthcare & Clinics,Lucknow,2025-11-21,20528.0,Active
CL0018,AG013,Royal Infra,Real Estate,Lucknow,2025-07-02,111439.0,Active
CL0019,AG039,Elite Apparel,Fashion & Apparel,Sultanpur,2024-11-30,39574.0,Active
CL0020,AG012,Heritage Dhaba,Restaurants & Cafes,Lucknow,2025-06-12,10240.0,Active
CL0021,AG003,Star Wellness Centre,Healthcare & Clinics,Rae Bareli,2026-05-13,24320.0,Inactive
CL0022,AG031,Royal Trends,E-Commerce & D2C,Varanasi,2025-02-15,30601.0,Active
CL0023,AG037,Krishna Properties,Real Estate,Lucknow,2024-04-18,50916.0,Active
CL0024,AG044,Comfort Occasions,Wedding & Events,Lucknow,2024-12-08,27005.0,Active
CL0025,AG042,Unknown Business,Legal Services,Lucknow,2026-06-11,12842.0,Active
CL0026,AG006,Trust Investments,Fintech & Local Finance,Sultanpur,2026-01-09,21154.0,Active
CL0027,AG035,Urban Jewellers,Jewellery,Lucknow,2026-03-16,43523.0,Active
CL0028,AG039,Classic Zari,Jewellery,Lucknow,2026-05-21,60564.0,Active
CL0029,AG032,United Cafe,Restaurants & Cafes,Lucknow,2024-06-21,14088.0,Inactive
CL0030,AG037,United Clinic,Healthcare & Clinics,Lucknow,2024-11-13,52743.0,Active
CL0031,AG038,Heritage Furnishings,Home Services & Interiors,Kanpur,2024-05-01,25355.0,Active
CL0032,AG021,Sunrise Furnishings,Home Services & Interiors,Lucknow,2024-03-14,50337.0,Inactive
CL0033,AG002,Krishna Builders,Real Estate,Rae Bareli,2026-03-14,47419.0,Active
CL0034,AG021,Green Jewels,Jewellery,Kanpur,2026-06-12,50056.0,Active
CL0035,AG010,Om Cafe,Restaurants & Cafes,Ayodhya,2024-07-25,27894.0,Active
CL0036,AG006,Sai Diagnostics,Healthcare & Clinics,Lucknow,2025-12-05,11070.0,Inactive
CL0037,AG006,Golden Capital,Fintech & Local Finance,Barabanki,2025-06-23,94400.0,Active
CL0038,AG032,Metro Autos,Automobile Dealers,Kanpur,2024-05-09,45547.0,Inactive
CL0039,AG023,Krishna Banquets,Wedding & Events,Lucknow,2026-05-24,33892.0,Active
CL0040,AG025,National Capital,Fintech & Local Finance,Prayagraj,2026-04-15,70275.0,Active
CL0041,AG034,Care Wellness,Fitness & Wellness,Barabanki,2025-07-22,27861.0,Active
