client_id,agency_id,business_name,industry,city,onboarding_date,monthly_retainer_inr,client_status
CL0001,AG007,Metro Holidays,Travel & Tourism,Lucknow,2025-09-19,42233.0,Active
CL0002,AG001,Modern Apparel,Fashion & Apparel,Lucknow,2025-01-20,16655,Churned
CL0003,AG041,Grand Boutique,Fashion & Apparel, Lucknow,2025-03-22,26826,Churned
CL0004,AG014,Star Furnishings,Home Services & Interiors,Barabanki,2024-07-05,28650,Active
CL0005,AG030,Sai Autos,Automobile Dealers,Lucknow,03/24/2025,77438,Active
CL0006,AG041,Star Travels,Travel & Tourism,Rae Bareli,2025-01-24,19627,ACTIVE
CL0007,AG002,Om Automobiles,Automobile Dealers,Rae Bareli,2024-04-10,36852,Churned
CL0008,AG001,Urban Wheels,Automobile Dealers,Lucknow,2024-09-05,43773,Y
CL0009,AG001,Metro Institute,Edu & Coaching,Rae Bareli,2025-06-23,31648,active
CL0010,AG008,Modern Properties,Real Estate,Prayagraj,2025-01-29,42260,Churned
CL0011,AG003,Ganga Boutique,Fashion & Apparel,Ayodhya,2026-08-01,15406,Active
CL0012,AG037,Metro Yoga Centre,Fitness & Wellness, Lucknow,05-May-2025,nan,Churned
CL0013,AG028,Care & Co Law,Legal Services,Lucknow,2026-07-01,25296,Active
CL0014,AG045,Star Weddings,Wedding & Events,LUCKNOW,2025-10-12,25854,No
CL0015,AG037,Sunrise Events,Wedding & Events,Rae Bareli,2024-04-14,"₹28,387",CHURNED
CL0016,AG044,Grand Threads,Fashion & Apparel,Varanasi,2024-09-05,38200,Active
CL0017,AG011,Trust Hospital,Healthcare & Clinics,Lucknow,2025-11-21,20528,Active
CL0018,AG013,Royal Infra,Real Estate,Lucknow,2025-07-02,111439,Active
CL0019,AG039,Elite Apparel,Fashion & Apparel,Sultanpur,2024-11-30,Rs. 39574,Active
CL0020,AG012,Heritage Dhaba,Restaurants & Cafes,Lucknow,2025-06-12,10240,Active
CL0021,AG003,Star Wellness Centre,Healthcare & Clinics,Rae Bareli,2026-05-13,24320,Churned
CL0022,AG031,Royal Trends,E-commerce & D2C,Varanasi,2025-02-15,30601,Active
CL0023,AG037,Krishna Properties,Real Estate,Lucknow,2024-04-18,50916,Yes
CL0024,AG044,Comfort Occasions,Wedding & Events,lucknow,2024-12-08,27005,Active
CL0025,AG042,Unknown Business,Legal Services,Lucknow,2026-06-11,12842,Yes
CL0026,AG006,Trust Investments,Fintech & Local Finance,Sultanpur,2026-01-09,21154,Active
CL0027,AG035,Urban Jewellers,Jewellery,Lucknow,2026-03-16,43523,Active
CL0028,AG039,Classic Zari,Jewellery,LUCKNOW,2026-05-21,60564,Active
CL0029,AG032,United Cafe,Restaurants & Cafes,Lucknow,2024-06-21,14088,Churned
CL0030,AG037,United Clinic,Healthcare and Clinics, Lucknow,2024-11-13,52743,Active
CL0031,AG038,Heritage Furnishings,Home Services & Interiors,kanpur,2024-05-01,25355,Active
CL0032,AG021,Sunrise Furnishings,Home Services & Interiors, Lucknow,14.03.2024,50337,Churned
CL0033,AG002,Krishna Builders,Real Estate, Rae Bareli,2026-03-14,"₹47,419",Active
CL0034,AG021,Green Jewels,Jewellery,Kanpur,2026-06-12,50056,active
CL0035,AG010,Om Cafe,Restaurants & Cafes,Ayodhya,2024-07-25,27894,Y
CL0036,AG006,Sai Diagnostics,Healthcare & Clinics,Lucknow,2025-12-05,11070,Churned
CL0037,AG006,Golden Capital,Fintech & Local Finance,Barabanki,2025-06-23,94400,Active
CL0038,AG032,Metro Autos,Automobile Dealers,Kanpur,09.05.2024,45547,churned
CL0039,AG023,Krishna Banquets,Wedding & Events,Lucknow,2026-05-24,33892,Active
CL0040,AG025,National Capital,Fintech & Local Finance,Prayagraj,2026-04-15,70275,Active
CL0041,AG034,Care Wellness,Fitness & Wellness,Barabanki,22-Jul-2025,27861,Active
CL0042,AG025,Radhe Tours,Travel & Tourism,Lucknow,2025-11-22,8994,Active
CL0043,AG029,Ganga Events,Wedding & Events,Sultanpur,2025-02-22,53092,Active
CL0044,AG004,Royal Advocates,Legal Services,RAE BARELI,2026-02-05,31073,Y
CL0045,AG039,National Motors,Automobile Dealers,Kanpur,2025-04-05,89918,Inactive
CL0046,AG021,Trust Gym,Fitness & Wellness,Amethi,2026-07-28,22031,Active
CL0047,AG007,Lucknow Traders,Manufacturing / B2B,Lucknow,2024-05-04,61013,Active
CL0048,AG037,United Banquets,Wedding & Events,Ayodhya,2024-08-08,30935,Active
CL0049,AG034,Lucknow Legal Associates,Legal Services,Lucknow,2026-07-10,40921,Active
CL0050,AG003,City Wheels,Automobile Dealers,AYODHYA,2024-11-19,78267,Active
CL0051,AG009,Urban Capital,Fintech & Local Finance,Kanpur,2024-12-08,92688,Active
CL0052,AG001,Shree Foods,Restaurants & Cafes,Lucknow,2026-02-04,20128,Active
CL0053,AG013,Radhe Fitness Studio,Fitness & Wellness,Lucknow,2024-08-23,,Yes
CL0054,AG005,Metro Celebrations,Wedding and Events,Lucknow,04/06/2025,26657,Churned
CL0055,AG032,Star Corp,Manufacturing / B2B,Lucknow,2024-11-16,49569,No
CL0056,AG024,Grand Ornaments,Jewellery,Lucknow,2024-08-31,Rs. 64414,Active
