campaign_id,client_id,campaign_name,campaign_type,platform,start_date,end_date,budget_inr,objective
CMP00001,CL0308,Social Media Marketing - Sales / Conversions,Socialmediamarketing,Meta Ads,2025-11-22,2026-09-06,21084.0,Sales / Conversions
CMP00002,CL0098,PPC - Sales / Conversions,Payperclick,Google Ads,2025-12-06,2026-09-06,49308.0,Sales / Conversions
CMP00003,CL0120,Local SEO / GMB - Local Footfall,Localseo/Gmb,Google My Business,2025-10-15,2026-09-06,8801.0,Local Footfall
CMP00004,CL0106,SEO - Website Traffic,Seo,Organic Search (Google),2026-03-14,2026-09-06,38652.0,Website Traffic
CMP00005,CL0209,PPC - Local Footfall,Payperclick,Google Ads,2025-08-13,2026-09-06,77613.0,Local Footfall
CMP00006,CL0244,PPC - Website Traffic,Payperclick,Bing Ads,2026-01-23,2026-09-06,95731.0,Website Traffic
CMP00007,CL0035,Social Media Marketing - App Installs,Socialmediamarketing,LinkedIn Ads,2025-01-22,2026-04-20,67455.0,App Installs
CMP00008,CL0133,Social Media Marketing - Local Footfall,Socialmediamarketing,YouTube Ads,2024-10-01,2026-04-23,48585.0,Local Footfall
CMP00009,CL0005,Social Media Marketing - Local Footfall,Socialmediamarketing,LinkedIn Ads,2025-06-14,2026-05-20,88855.0,Local Footfall
CMP00010,CL0145,Local SEO / GMB - Sales / Conversions,Localseo/Gmb,Organic Search (Google),2026-02-12,2026-09-06,19020.5,Sales / Conversions
CMP00011,CL0080,PPC - Sales / Conversions,Payperclick,Google Ads,2026-07-07,2026-09-06,34404.0,Sales / Conversions
CMP00012,CL0108,Social Media Marketing - Local Footfall,Socialmediamarketing,YouTube Ads,2025-02-23,2026-08-29,93210.0,Local Footfall
CMP00013,CL0147,SEO - App Installs,Seo,Organic Search (Google),2025-09-04,2026-09-06,23850.0,App Installs
CMP00014,CL0104,PPC - Local Footfall,Payperclick,Google Ads,2025-10-19,2026-09-03,52293.0,Local Footfall
CMP00015,CL0127,Social Media Marketing - Website Traffic,Socialmediamarketing,Instagram,2025-02-17,2026-07-03,60033.0,Website Traffic
CMP00016,CL0245,SEO - Local Footfall,Seo,Organic Search (Google),2025-10-22,2026-09-06,16323.0,Local Footfall
CMP00017,CL0260,Social Media Marketing - App Installs,Socialmediamarketing,LinkedIn Ads,2025-06-21,2026-09-06,45949.0,App Installs
CMP00018,CL0002,Social Media Marketing - App Installs,Socialmediamarketing,Instagram,2025-08-01,2026-05-14,31540.0,App Installs
CMP00019,CL0121,Content Marketing - Brand Awareness,Contentmarketing,Organic Search (Google),2026-06-11,2026-09-06,29301.0,Brand Awareness
CMP00020,CL0272,Social Media Marketing - Website Traffic,Socialmediamarketing,Meta Ads,2024-09-24,2026-08-12,84248.0,Website Traffic
CMP00021,CL0170,Social Media Marketing - App Installs,Socialmediamarketing,Meta Ads,2025-09-03,2026-09-06,93550.0,App Installs
CMP00022,CL0066,PPC - App Installs,Payperclick,Bing Ads,2025-06-17,2026-04-30,47583.0,App Installs
CMP00023,CL0190,SEO - Local Footfall,Seo,Organic Search (Google),2025-08-10,2026-09-06,39520.0,Local Footfall
CMP00024,CL0047,SEO - Brand Awareness,Seo,Organic Search (Google),2024-09-16,2026-09-01,36348.0,Brand Awareness
CMP00025,CL0007,Social Media Marketing - Brand Awareness,Socialmediamarketing,YouTube Ads,2024-10-02,2025-12-04,50285.0,Brand Awareness
CMP00026,CL0203,Local SEO / GMB - Local Footfall,Localseo/Gmb,Unknown,2025-05-04,2026-09-06,21919.0,Local Footfall
CMP00027,CL0165,SEO - Local Footfall,Seo,Organic Search (Google),2026-01-17,2026-09-06,59524.0,Local Footfall
CMP00028,CL0243,Social Media Marketing - Brand Awareness,Socialmediamarketing,Instagram,2025-11-13,2026-08-15,49445.0,Brand Awareness
