agency_id,agency_name,area,city,founded_year,employee_count,services_offered,google_rating,website
AG001,PixelGrowth Partners,Ashiyana,Lucknow,2016,34,"Google My Business / Local SEO, Email Marketing, Web Development, Performance Marketing, PPC, SEO",4.6,Not Available
AG002,PrimeAnalytics,Hazratganj,Lucknow,2023,42,"Google My Business / Local SEO, PPC, Email Marketing, Social Media Marketing, Web Development, Online Reputation Management",4.1,www.primeanalytics.in
AG003,NovaVentures,Faizabad Road,Lucknow,2022,61,"Google My Business / Local SEO, Online Reputation Management, Content Marketing, SEO, Social Media Marketing, Email Marketing",4.4,www.novaventures.in
AG004,PixelTechnologies,Aliganj,Lucknow,2011,83,"Performance Marketing, Marketing Analytics & Reporting, Google My Business / Local SEO, Web Development, PPC",4.3,www.pixeltechnologies.in
AG005,WebDigital,Faizabad Road,Lucknow,2014,61,"SEO, Social Media Marketing, PPC, Content Marketing, Online Reputation Management, Performance Marketing",4.4,www.webdigital.in
AG006,NexusSquare,Gomti Nagar,Lucknow,2021,50,"PPC, Online Reputation Management, Performance Marketing, SEO, Email Marketing, Marketing Analytics & Reporting",3.5,Not Available
AG007,ZenithGrowth Partners,Rae Bareli Road,Rae Bareli,2011,124,"Social Media Marketing, Email Marketing, SEO, PPC, Web Development",4.1,www.zenithgrowthpartners.in
AG008,NexusDigital,Rae Bareli Road,Rae Bareli,2022,15,"PPC, Web Development, Social Media Marketing, Performance Marketing, SEO, Content Marketing",3.5,www.nexusdigital.in
AG009,ElevateAnalytics,Rae Bareli Road,Rae Bareli,2014,47,"Social Media Marketing, Google My Business / Local SEO, SEO, Marketing Analytics & Reporting, Email Marketing",4.2,www.elevateanalytics.in
AG010,NexusInfotech,Vibhuti Khand,Lucknow,2022,19,"Online Reputation Management, Web Development, SEO",3.9,Not Available
AG011,DigiHive,Chinhat,Lucknow,2014,47,"PPC, Content Marketing, SEO, Email Marketing, Google My Business / Local SEO",3.6,www.digihive.in
AG012,BrightWorks,Vijay Khand,Lucknow,2016,125,"SEO, Web Development, Email Marketing, Content Marketing",3.6,www.brightworks.in
AG013,NexusAnalytics,Aminabad,Lucknow,2019,50,"SEO, Web Development, Online Reputation Management, Email Marketing",4.3,www.nexusanalytics.in
AG014,OrbitLabs,Rae Bareli Road,Rae Bareli,2012,118,"SEO, PPC, Marketing Analytics & Reporting, Google My Business / Local SEO, Online Reputation Management",5.8,www.orbitlabs.in
AG015,PixelStudio,Rajajipuram,Lucknow,2018,66,"PPC, Web Development, Online Reputation Management, Email Marketing, Google My Business / Local SEO",4.9,www.pixelstudio.in
AG016,LoopMedia,Chinhat,Lucknow,2017,92,"SEO, Google My Business / Local SEO, Social Media Marketing",4.3,www.loopmedia.in
AG017,LoopVentures,Jankipuram,Lucknow,2021,62,"Web Development, Social Media Marketing, PPC, Email Marketing, Performance Marketing, Marketing Analytics & Reporting",4.0,www.loopventures.in
AG018,GrowthWorks,Rajajipuram,Lucknow,2023,38,"Email Marketing, Performance Marketing, Social Media Marketing, SEO",4.3,www.growthworks.in
AG019,DigiGrowth Partners,Gomti Nagar,Lucknow,2019,100,"PPC, Social Media Marketing, Content Marketing, Performance Marketing, Online Reputation Management, Marketing Analytics & Reporting",3.4,Not Available
AG020,ZenithInfotech,Hazratganj,Lucknow,2016,126,"Email Marketing, Online Reputation Management, SEO",4.9,www.zenithinfotech.in
AG021,PixelSquare,Indira Nagar,Lucknow,2016,61,"Content Marketing, Online Reputation Management, PPC",3.6,www.pixelsquare.in
AG022,NovaHive,Hazratganj,Lucknow,2016,102,"Performance Marketing, Google My Business / Local SEO, Online Reputation Management",4.7,www.novahive.in
AG023,PrimeGrowth Partners,Vikas Nagar,Lucknow,2021,37,"Marketing Analytics & Reporting, PPC, Email Marketing, Performance Marketing",3.5,www.primegrowthpartners.in
AG024,BrightSolutions,Vibhuti Khand,Lucknow,2015,94,"Performance Marketing, Marketing Analytics & Reporting, PPC",4.2,www.brightsolutions.in
AG025,SparkConsultants,Vibhuti Khand,Lucknow,2013,103,"Content Marketing, Web Development, Marketing Analytics & Reporting, Performance Marketing, Email Marketing",4.2,www.sparkconsultants.in
AG026,OrbitMedia,Chinhat,Lucknow,2015,61,"Web Development, Email Marketing, SEO, Content Marketing, Google My Business / Local SEO, PPC",4.9,www.orbitmedia.in
AG027,NexusSolutions,Kanpur Road,Lucknow,2011,61,"Google My Business / Local SEO, Online Reputation Management, Marketing Analytics & Reporting, SEO, Social Media Marketing",4.3,www.nexussolutions.in
AG028,ZenithTechnologies,Rajajipuram,Lucknow,2012,39,"Online Reputation Management, PPC, SEO",4.2,www.zenithtechnologies.in
AG029,PulseGrowth Partners,Gomti Nagar Extension,Lucknow,2012,14,"Content Marketing, Web Development, Google My Business / Local SEO, Marketing Analytics & Reporting, Online Reputation Management, SEO",3.8,www.pulsegrowthpartners.in
AG030,SparkSquare,Rae Bareli Road,Rae Bareli,2021,17,"Content Marketing, PPC, Web Development, Google My Business / Local SEO, Email Marketing, Performance Marketing",3.9,www.sparksquare.in
AG031,NovaMarketing,Rajajipuram,Lucknow,2020,60,"Web Development, Google My Business / Local SEO, Content Marketing, Email Marketing, Marketing Analytics & Reporting, Social Media Marketing",4.2,www.novamarketing.in
AG032,PulseInfotech,Ashiyana,Lucknow,2020,117,"PPC, Google My Business / Local SEO, Social Media Marketing, Content Marketing",4.1,www.pulseinfotech.in
AG033,PixelConsultants,Rajajipuram,Lucknow,2017,20,"Social Media Marketing, Marketing Analytics & Reporting, Content Marketing, Google My Business / Local SEO",3.4,www.pixelconsultants.in
AG034,OrbitDigital,Rajajipuram,Lucknow,2020,61,"Google My Business / Local SEO, Web Development, Online Reputation Management, Marketing Analytics & Reporting",4.7,www.orbitdigital.in
AG035,PrimeConsultants,Gomti Nagar Extension,Lucknow,2013,93,"Performance Marketing, Content Marketing, Marketing Analytics & Reporting, Email Marketing",4.8,www.primeconsultants.in
AG036,ByteLabs,Rajajipuram,Lucknow,2022,30,"Google My Business / Local SEO, Marketing Analytics & Reporting, SEO, Social Media Marketing, Online Reputation Management, Content Marketing",3.6,www.bytelabs.in
AG037,VertexTechnologies,Rae Bareli Road,Rae Bareli,2017,95,"Marketing Analytics & Reporting, Web Development, Content Marketing, Online Reputation Management, PPC",4.3,www.vertextechnologies.in
AG038,PulseAnalytics,Alambagh,Lucknow,2023,43,"SEO, Online Reputation Management, Email Marketing, Performance Marketing, Content Marketing",3.6,www.pulseanalytics.in
AG039,DigiVentures,Ashiyana,Lucknow,2012,106,"Web Development, Content Marketing, Online Reputation Management, Social Media Marketing, Performance Marketing, Marketing Analytics & Reporting",4.5,www.digiventures.in
AG040,BlueTechnologies,Gomti Nagar,Lucknow,2017,77,"Email Marketing, Google My Business / Local SEO, Web Development, PPC, SEO",3.8,www.bluetechnologies.in
AG041,PixelMarketing,Alambagh,Lucknow,2020,73,"Social Media Marketing, Content Marketing, Google My Business / Local SEO, Online Reputation Management, Email Marketing",5.8,www.pixelmarketing.in
AG042,BrightVentures,Vikas Nagar,Lucknow,2017,27,"Performance Marketing, Email Marketing, PPC, Marketing Analytics & Reporting",4.6,www.brightventures.in
AG043,ElevateInfotech,Rae Bareli - Dalmau Road,Rae Bareli,2016,62,"Google My Business / Local SEO, Email Marketing, SEO",4.6,www.elevateinfotech.in
AG044,LoopMarketing,Indira Nagar,Lucknow,2013,112,"Web Development, Marketing Analytics & Reporting, Online Reputation Management, PPC",3.6,www.loopmarketing.in
AG045,WebTechnologies,Aminabad,Lucknow,2015,7,"Web Development, Content Marketing, Email Marketing, Online Reputation Management, Google My Business / Local SEO, Social Media Marketing",4.9,www.webtechnologies.in
