campaign_id,client_id,campaign_name,campaign_type,platform,start_date,end_date,budget_inr,objective
CMP00001,CL0308,Social Media Marketing - Sales / Conversions,Social Media Marketing,Meta Ads,2025-11-22,06-Sep-2026,21084,Sales / Conversions
CMP00002,CL0098,PPC - Sales / Conversions,PPC,Google Ads,2025-12-06,2026-09-06,"₹49,308",Sales / Conversions
CMP00003,CL0120,Local SEO / GMB - Local Footfall,Local SEO / GMB,Google My Business,2025-10-15,2026-09-06,8801,Local Footfall
CMP00004,CL0106,SEO - Website Traffic,SEO,Organic Search (Google),2026-03-14,2026-09-06,38652,Website Traffic
CMP00005,CL0209,PPC - Local Footfall,PPC,Google Ads,2025-08-13,2026-09-06,Rs. 77613,Local Footfall
CMP00006,CL0244,PPC - Website Traffic,PPC,Bing Ads,2026-01-23,2026/09/06,95731,Website Traffic
CMP00007,CL0035,Social Media Marketing - App Installs,Social Media Mktg,LinkedIn Ads,2025-01-22,2026-04-20,67455,App Installs
CMP00008,CL0133,Social Media Marketing - Local Footfall,Social Media Marketing,YouTube Ads,2024-10-01,23-Apr-2026,48585,Local Footfall
CMP00009,CL0005,Social Media Marketing - Local Footfall,Social Media Marketing,LinkedIn Ads,14-Jun-2025,2026-05-20,88855,Local Footfall
CMP00010,CL0145,Local SEO / GMB - Sales / Conversions,Local SEO / GMB,Organic Search (Google),2026-02-12,06.09.2026,,Sales / Conversions
CMP00011,CL0080,PPC - Sales / Conversions,PPC,Google Ads,2026-07-07,2026-09-06,34404,Sales / Conversions
CMP00012,CL0108,Social Media Marketing - Local Footfall,Social Media Marketing,YouTube Ads,2025-02-23,2026-08-29,93210,Local Footfall
CMP00013,CL0147,SEO - App Installs,SEO,Organic Search (Google),2025-09-04,2026-09-06,23850,App Installs
CMP00014,CL0104,PPC - Local Footfall,PPC,Google Ads,2025-10-19,2026-09-03,52293,Local Footfall
CMP00015,CL0127,Social Media Marketing - Website Traffic,social media marketing,Instagram,2025-02-17,2026-07-03,60033,Website Traffic
CMP00016,CL0245,SEO - Local Footfall,Seo ,Organic Search (Google),2025-10-22,2026-09-06,16323,Local Footfall
CMP00017,CL0260,Social Media Marketing - App Installs,Social Media Marketing,LinkedIn Ads,2025-06-21,2026-09-06,45949.0,App Installs
CMP00018,CL0002,Social Media Marketing - App Installs,Social Media Marketing,Instagram,2025-08-01,2026-05-14,31540,App Installs
CMP00019,CL0121,Content Marketing - Brand Awareness,Content Marketing,Organic Search (Google),11.06.2026,2026-09-06,29301,Brand Awareness
CMP00020,CL0272,Social Media Marketing - Website Traffic,Social Media Marketing,Meta Ads,2024-09-24,2026-08-12,84248.0,Website Traffic
CMP00021,CL0170,Social Media Marketing - App Installs,Social Media Marketing,Meta Ads,2025-09-03,2026-09-06,93550,App Installs
CMP00022,CL0066,PPC - App Installs,PPC,Bing Ads,2025/06/17,2026-04-30,47583,App Installs
CMP00023,CL0190,SEO - Local Footfall,SEO,Organic Search (Google),2025-08-10,06-Sep-2026,39520,Local Footfall
CMP00024,CL0047,SEO - Brand Awareness,SEO,Organic Search (Google),2024-09-16,2026-09-01,36348,Brand Awareness
CMP00025,CL0007,Social Media Marketing - Brand Awareness,Social Media Marketing,YouTube Ads,2024-10-02,2025-12-04,50285,Brand Awareness
CMP00026,CL0203,Local SEO / GMB - Local Footfall,Local SEO / GMB,,2025-05-04,2026-09-06,21919,Local Footfall
CMP00027,CL0165,SEO - Local Footfall,SEO,Organic Search (Google),2026-09-06,2026/01/17,59524,Local Footfall
CMP00028,CL0243,Social Media Marketing - Brand Awareness,Social Media Marketing,Instagram,2025-11-13,2026-08-15,49445,Brand Awareness
CMP00029,CL0111,Content Marketing - Sales / Conversions,Content Marketing,LinkedIn,2024-12-04,2025-11-20,12608,-
CMP00030,CL0274,Content Marketing - Local Footfall,Content Marketing,LinkedIn,2025-12-18,2026-08-29,,Local Footfall
CMP00031,CL0135,Social Media Marketing - Brand Awareness,Social Media Mktg,Meta Ads,27/07/2025,2026/07/16,94229,Brand Awareness
CMP00032,CL0237,Social Media Marketing - App Installs,Social Media Marketing,LinkedIn Ads,2026-04-02,2026/09/06,42401,App Installs
CMP00033,CL0033,Social Media Marketing - Lead Generation,Social Media Marketing,Meta Ads,2026-03-14,2026-09-06,57641,Lead Generation
CMP00034,CL0032,Email Marketing - Brand Awareness,Email Marketing,Email,19/03/2025,01/27/2026,22251,Brand Awareness
CMP00035,CL0251,SEO - App Installs,SEO,Organic Search (Google),2025-11-28,2026-09-04,37669,App Installs
CMP00036,CL0267,Local SEO / GMB - Website Traffic,Local SEO / GMB,Google My Business,2025-05-18,2026-09-06,18586,Website Traffic
CMP00037,CL0302,SEO - Website Traffic,Seo ,Organic Search (Google),2025-02-15,2026-09-06,56488,Website Traffic
CMP00038,CL0104,Content Marketing - Local Footfall,Content Marketing,Organic Search (Google),2024-09-11,2026-09-02,43152,Local Footfall
CMP00039,CL0008,SEO - Brand Awareness,SEO,Organic Search (Google),2025-03-25,2026-06-21,37829,Brand Awareness
CMP00040,CL0314,SEO - Website Traffic,SEO,,2025/10/13,2026-07-28,22267,Website Traffic
CMP00041,CL0193,SEO - Website Traffic,SEO,Organic Search (Google),2025-06-10,2026-07-20,34728,Website Traffic
CMP00042,CL0080,PPC - App Installs,PPC,,2026-07-07,2026-09-06,107938,App Installs
